QGPIORecord, QRC v6.1.0, 15-12-2021 @ 19:07:26, Windows 10 Version 2009, 10.0.19042, x86_64,,,,,,,
Time, VoltageA, eA, desired_velocity, time, PositionB, SpeedA, SpeedB, GetFrontDistance, xhat, Phat, nu, S
27681,-0.228766,0,-0.0194446,1.13,0.315562,-1.05187,-1.4025,0.240277,-0.240278,2.79E-05,-3.55E-06,0.0003635
27691,-0.728473,0,-0.0194125,1.14,0.312056,-0.350624,-0.350624,0.240277,-0.240294,2.79E-05,-0.000194743,0.0003635
27701,-1.03999,0,-0.0194099,1.15,0.308549,0,-0.350624,0.240277,-0.240295,2.79E-05,-0.000210479,0.0003635
27711,-0.558726,0,-0.0194097,1.16,0.305043,-0.697742,-0.347118,0.240277,-0.240295,2.79E-05,-0.00021176,0.0003635
27721,0.414009,0,-0.00324816,1.17,0.294524,-1.406,-1.05538,0.249098,-0.248376,2.79E-05,0.00860913,0.0003635
27730,0.331152,0,-0.001919,1.18,0.284006,-1.04837,-1.04837,0.249098,-0.24904,2.79E-05,0.000689998,0.0003635
27741,0.182823,0,-0.00180969,1.19,0.276993,-0.697742,-0.697742,0.249098,-0.249095,2.79E-05,3.87E-05,0.0003635
27751,-0.188358,0,0.0024358,1.2,0.273487,0,-0.350624,0.251411,-0.251218,2.79E-05,0.00229745,0.0003635
27761,0.11026,0,0.00278497,1.21,0.269981,-0.350624,-0.347118,0.251411,-0.251392,2.79E-05,0.00021714,0.0003635
27770,-0.215346,0,-0.00142282,1.22,0.269981,0,0,0.249098,-0.249289,2.79E-05,-0.00226624,0.0003635
27781,0.53624,0,0.00678724,1.23,0.266474,-0.697742,-0.347118,0.253768,-0.253394,2.79E-05,0.00446554,0.0003635
27791,-0.0948386,0,-0.00109366,1.24,0.266474,0,0,0.249098,-0.249453,2.79E-05,-0.00422736,0.0003635
27801,-0.39258,0,-0.0017418,1.25,0.266474,0.347118,0,0.249098,-0.249129,2.79E-05,-0.000365704,0.0003635
27810,-0.168485,0,-0.00179511,1.26,0.266474,0,0,0.249098,-0.249102,2.79E-05,-4.81E-05,0.0003635
27821,-0.175707,0,-0.00179949,1.27,0.266474,0,0,0.249098,-0.2491,2.79E-05,-2.20E-05,0.0003635
27831,-0.182848,0,-0.00179985,1.28,0.266474,0,0,0.249098,-0.2491,2.79E-05,-1.98E-05,0.0003635
27841,-0.189983,0,-0.00179988,1.29,0.266474,0,0,0.249098,-0.2491,2.79E-05,-1.97E-05,0.0003635
27850,-0.197117,0,-0.00179988,1.3,0.266474,0,0,0.249098,-0.2491,2.79E-05,-1.97E-05,0.0003635
27860,-0.204251,0,-0.00179988,1.31,0.266474,0,0,0.249098,-0.2491,2.79E-05,-1.97E-05,0.0003635
27871,-0.211385,0,-0.00179988,1.32,0.266474,0,0,0.249098,-0.2491,2.79E-05,-1.97E-05,0.0003635
27881,-0.218519,0,-0.00179988,1.33,0.266474,0,0,0.249098,-0.2491,2.79E-05,-1.97E-05,0.0003635
27891,-0.122951,0,0.00243658,1.34,0.266474,0,0,0.251411,-0.251218,2.79E-05,0.00229263,0.0003635
27900,-0.207549,0,-0.00145149,1.35,0.266474,0,0,0.249098,-0.249274,2.79E-05,-0.00209551,0.0003635
27911,-1.85512,0,-0.0691765,1.36,0.266474,0,0,0.212308,-0.215412,2.79E-05,-0.0369804,0.0003635
27921,-2.4773,0,-0.083531,1.37,0.266474,0,0,0.207514,-0.208235,2.79E-05,-0.00858986,0.0003635
27931,0.132021,0,-0.00852162,1.38,0.255956,-1.4025,-1.39548,0.249098,-0.245739,2.79E-05,0.0400286,0.0003635
27940,0.992239,0,-0.00235268,1.39,0.234918,-2.10374,-1.75312,0.249098,-0.248824,2.79E-05,0.00327399,0.0003635
27951,0.14558,0,-0.00184536,1.4,0.224399,-0.697742,-1.05187,0.249098,-0.249077,2.79E-05,0.000251219,0.0003635
27961,-0.605346,0,-0.00180364,1.41,0.224399,0.347118,0,0.249098,-0.249098,2.79E-05,2.64E-06,0.0003635
27971,-0.38012,0,-0.00180021,1.42,0.227906,0,0.350624,0.249098,-0.2491,2.79E-05,-1.78E-05,0.0003635
27981,-0.106749,0,-0.00179991,1.43,0.224399,-0.350624,-0.347118,0.249098,-0.2491,2.79E-05,-1.95E-05,0.0003635
27991,0.212478,0,-0.00179988,1.44,0.217387,-0.701248,-0.701248,0.249098,-0.2491,2.79E-05,-1.96E-05,0.0003635
28001,0.294262,0,-0.00179988,1.45,0.210375,-0.697742,-0.697742,0.249098,-0.2491,2.79E-05,-1.97E-05,0.0003635
28011,0.100699,0,-0.00179988,1.46,0.206868,-0.350624,-0.347118,0.249098,-0.2491,2.79E-05,-1.97E-05,0.0003635
28021,-0.038371,0,0.00243658,1.47,0.206868,0,0,0.251411,-0.251218,2.79E-05,0.00229263,0.0003635
28030,-0.12297,0,-0.00145149,1.48,0.206868,0,0,0.249098,-0.249274,2.79E-05,-0.00209551,0.0003635
28041,-1.77054,0,-0.0691765,1.49,0.206868,0,0,0.212308,-0.215412,2.79E-05,-0.0369804,0.0003635
28051,-2.17976,0,-0.0747463,1.5,0.206868,0,0,0.212308,-0.212627,2.79E-05,-0.00379518,0.0003635
28061,-0.0115652,0,-0.00779915,1.51,0.19635,-1.05187,-1.04486,0.249098,-0.2461,2.79E-05,0.0357241,0.0003635
28070,0.895088,0,0.00194317,1.52,0.178818,-1.75663,-2.10374,0.251411,-0.250972,2.79E-05,0.00523227,0.0003635
28081,0.202171,0,-0.00149205,1.53,0.1683,-0.697742,-0.697742,0.249098,-0.249254,2.79E-05,-0.00185375,0.0003635
28091,-0.558021,0,-0.00177458,1.54,0.175312,0.350624,0.701248,0.249098,-0.249113,2.79E-05,-0.000170484,0.0003635
