QGPIORecord, QRC v6.1.0, 15-12-2021 @ 19:58:19, Windows 10 Version 2009, 10.0.19042, x86_64,,,,,,,
Time, VoltageA, eA, desired_velocity, time, PositionB, SpeedA, SpeedB, GetFrontDistance, xhat, Phat, nu, S
30281,0.225026,0.26953,0.00663924,1.82,0.434774,0,0,0.151666,-0.15166,2.79E-05,7.76E-05,0.0003635
30290,0.251379,0.295882,0.00664079,1.83,0.434774,0,0,0.151666,-0.15166,2.79E-05,7.29E-05,0.0003635
30301,0.555398,0.322206,0.00664091,1.84,0.434774,-0.347118,0,0.151666,-0.15166,2.79E-05,7.25E-05,0.0003635
30311,0.34943,0.34853,0.00664097,1.85,0.434774,0,0,0.151666,-0.15166,2.79E-05,7.25E-05,0.0003635
30321,0.375752,0.374852,0.00664097,1.86,0.434774,0,0,0.151666,-0.15166,2.79E-05,7.25E-05,0.0003635
30330,0.12438,0.401174,0.00664097,1.87,0.434774,0.347118,0,0.151666,-0.15166,2.79E-05,7.25E-05,0.0003635
30341,-0.8927,-1.08007,-0.0459814,1.88,0.43828,0,0.350624,0.137306,-0.138505,2.79E-05,-0.0142882,0.0003635
30351,0.0979662,0.0998188,0.00240153,1.89,0.43828,0,0,0.151666,-0.1506,2.79E-05,0.0127019,0.0003635
30361,0.482479,0.741629,0.00629944,1.9,0.434774,-0.350624,-0.697742,0.151666,-0.151575,2.79E-05,0.00108996,0.0003635
30371,0.558116,0.593503,0.00661343,1.91,0.427761,-0.347118,-0.347118,0.151666,-0.151653,2.79E-05,0.000154451,0.0003635
30381,0.28202,0.0565389,0.00372517,1.92,0.431268,0,0.350624,0.150871,-0.150931,2.79E-05,-0.000716016,0.0003635
30391,0.0812772,-0.180613,0.00640607,1.93,0.43828,0.350624,0.697742,0.151666,-0.151602,2.79E-05,0.000772282,0.0003635
30401,0.066042,0.299335,0.00662202,1.94,0.43828,0.350624,0,0.151666,-0.151656,2.79E-05,0.000128865,0.0003635
30410,0.327349,0.325991,0.00663942,1.95,0.43828,0,0,0.151666,-0.15166,2.79E-05,7.70E-05,0.0003635
30420,0.3537,0.352341,0.00664085,1.96,0.43828,0,0,0.151666,-0.15166,2.79E-05,7.29E-05,0.0003635
30431,0.380025,0.378665,0.00664097,1.97,0.43828,0,0,0.151666,-0.15166,2.79E-05,7.25E-05,0.0003635
30441,0.125848,0.135971,0.00664097,1.98,0.441786,0.350624,0.347118,0.151666,-0.15166,2.79E-05,7.25E-05,0.0003635
30451,0.386808,0.385907,0.00664097,1.99,0.441786,0,0,0.151666,-0.15166,2.79E-05,7.25E-05,0.0003635
