QGPIORecord, QRC v6.1.0, 23-12-2021 @ 15:27:47, Windows 10 Version 2009, 10.0.22000, x86_64
Time, desiredVelocityCart, VoltA, uA, P13, P22, P23, P33, x1, x2, x3, y1, y2
25834, 0.2377, 3.90337, 3.90337, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.144183, -0.0814461, 0.560411, 0.141856, -0.102877
25844, 0.240575, 3.98768, 3.98768, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.146581, -0.0542243, 0.571912, 0.14417, -0.076774
25853, 0.244081, 4.11088, 4.11088, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.148962, -0.0274001, 0.578747, 0.146484, -0.0522063
25864, 0.248036, 4.26775, 4.26775, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.151341, -0.00122518, 0.581256, 0.148798, -0.0276386
25874, 0.252145, 4.15413, 4.15413, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.153792, 0.0241973, 0.579989, 0.151228, -0.00307096
25884, 0.256242, 4.00222, 4.00222, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.156343, 0.0488612, 0.575586, 0.153773, 0.0214967
25893, 0.260497, 4.39538, 4.39538, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.158861, 0.0722025, 0.567538, 0.156203, 0.0445289
25904, 0.264576, 4.27241, 4.27241, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.161437, 0.093863, 0.555813, 0.158749, 0.0660257
25914, 0.268476, 4.15007, 4.15007, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.164034, 0.114219, 0.541841, 0.161294, 0.0875224
25924, 0.271991, 4.50261, 4.50261, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.166705, 0.133032, 0.525576, 0.163955, 0.107484
25934, 0.275154, 4.11126, 4.11126, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.169402, 0.150151, 0.507173, 0.166617, 0.125909
25944, 0.277777, 4.42, 4.42, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.172175, 0.165511, 0.48692, 0.169394, 0.1428
25954, 0.280036, 4.53595, 4.53595, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.174901, 0.178484, 0.464001, 0.172055, 0.156619
25964, 0.281679, 4.34292, 4.34292, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.177675, 0.189835, 0.440447, 0.174832, 0.170438
25974, 0.282761, 4.38449, 4.38449, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.180462, 0.199592, 0.416479, 0.177609, 0.182722
25984, 0.283294, 4.41983, 4.41983, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.183248, 0.207789, 0.3923, 0.180386, 0.193471
25994, 0.28308, 4.16477, 4.16477, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.186097, 0.21388, 0.366925, 0.183278, 0.201148
26004, 0.28235, 4.39039, 4.39039, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.188895, 0.218034, 0.340992, 0.186055, 0.20729
26014, 0.281023, 4.37856, 4.37856, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.191666, 0.220409, 0.314991, 0.188832, 0.211896
26023, 0.279072, 4.34961, 4.34961, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.194422, 0.221145, 0.28928, 0.191609, 0.214967
26034, 0.276299, 4.00501, 4.00501, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.197234, 0.219772, 0.262944, 0.194502, 0.214967
26044, 0.272826, 3.88064, 3.88064, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.200061, 0.217118, 0.237774, 0.197394, 0.214967
26054, 0.268833, 3.98137, 3.98137, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.202818, 0.212619, 0.212551, 0.200171, 0.211896
26063, 0.264423, 3.84638, 3.84638, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.205471, 0.207023, 0.188842, 0.202833, 0.208825
26074, 0.2593, 3.97532, 3.97532, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.20815, 0.199738, 0.165273, 0.20561, 0.202683
26084, 0.25371, 3.78324, 3.78324, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.210762, 0.19147, 0.143276, 0.208271, 0.196541
26094, 0.247604, 3.58744, 3.58744, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.213343, 0.18217, 0.122535, 0.210932, 0.188864
26104, 0.240974, 3.35519, 3.35519, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.215907, 0.171782, 0.102772, 0.213593, 0.179651
26114, 0.233823, 3.0901, 3.0901, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.21846, 0.160253, 0.0837563, 0.216254, 0.168903
26124, 0.22635, 3.07635, 3.07635, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.220934, 0.14811, 0.0664588, 0.2188, 0.158154
26134, 0.218675, 3.02295, 3.02295, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.223303, 0.135746, 0.0513999, 0.22123, 0.147406
26144, 0.211047, 3.0386, 3.0386, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.225491, 0.12342, 0.0387682, 0.223428, 0.136658
26153, 0.203091, 3.05391, 3.05391, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.227677, 0.11074, 0.0273771, 0.225742, 0.124374
26164, 0.195016, 2.77912, 2.77912, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.22979, 0.0979498, 0.0175283, 0.227941, 0.11209
26174, 0.186775, 2.49685, 2.49685, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.231874, 0.0852292, 0.00931435, 0.230139, 0.0998062
26184, 0.178537, 2.44, 2.44, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.233874, 0.0726804, 0.00267648, 0.232222, 0.0875224
26193, 0.170545, 2.40096, 2.40096, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.235703, 0.0603422, -0.00253127, 0.234073, 0.0752385
26204, 0.162594, 2.67583, 2.67583, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.237466, 0.0482431, -0.00648781, 0.235924, 0.0629547
26214, 0.154626, 2.16524, 2.16524, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.239204, 0.0363907, -0.00939621, 0.237776, 0.0506709
26224, 0.146792, 2.11149, 2.11149, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.240862, 0.0247617, -0.0114661, 0.239511, 0.038387
26233, 0.138997, 1.82818, 1.82818, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.24249, 0.0133326, -0.0128873, 0.241247, 0.0261032
26244, 0.131412, 1.7934, 1.7934, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.244037, 0.002658, -0.0126757, 0.242867, 0.0153548
26254, 0.12411, 1.7738, 1.7738, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.245485, -0.0074485, -0.0114724, 0.244371, 0.00460644
