QGPIORecord, QRC v6.1.0, x86_64, Windows 10 Version 2009,, 22-12-2021 @ 11:14:12, 10.0.19042,,,,,,
Time, trajectoryV, P11, P12, P13, P22, P23, P33, x1, x2, x3, y1, y2
130194,0.091833,1.01E-05,0,4.33E-05,2.12E-05,0,0.000386342,0.00357473,0.00229582,0.0235512,0.0122838,0.000694236
130204,0.114791,1.01E-05,0,4.33E-05,2.12E-05,0,0.000386342,0.00237258,0.00344374,0.0420629,0.0122838,0.00104135
130214,0.137749,1.01E-05,0,4.33E-05,2.13E-05,0,0.000386342,-0.000479872,0.00482123,0.0566449,0.00921288,0.00161988
130224,0.160708,1.01E-05,0,4.33E-05,2.13E-05,0,0.000386342,-0.00414929,0.00642831,0.0710336,0.00614192,0.00242983
130234,0.183666,1.01E-05,0,4.33E-05,2.13E-05,0,0.000386342,-0.00914975,0.00826497,0.0837528,0.00153548,0.00347118
130244,0.206601,1.01E-05,0,4.33E-05,2.13E-05,0,0.000386342,-0.0157539,0.010331,0.0944903,-0.00460644,0.00474395
130254,0.229559,1.01E-05,0,4.33E-05,2.14E-05,0,0.000386342,-0.0240737,0.0126266,0.103551,-0.0122838,0.00613242
130264,0.252518,1.01E-05,0,4.33E-05,2.14E-05,0,0.000386342,-0.0330514,0.0151517,0.11482,-0.0199612,0.0077523
130274,0.275476,1.01E-05,0,4.33E-05,2.14E-05,0,0.000386342,-0.0441866,0.0179065,0.123134,-0.0307096,0.0097193
130284,0.298434,1.01E-05,0,4.33E-05,2.14E-05,0,0.000386342,-0.0562165,0.0208908,0.133378,-0.041458,0.0120334
130294,0.321392,1.01E-05,0,4.33E-05,2.15E-05,0,0.000386342,-0.0683667,0.0241048,0.147578,-0.0522063,0.0143475
130305,0.344351,1.01E-05,0,4.33E-05,2.15E-05,0,0.000386342,-0.0813053,0.0275483,0.162681,-0.0644902,0.0167774
130314,0.367309,1.01E-05,0,4.33E-05,2.15E-05,0,0.000386342,-0.0954792,0.0312214,0.177145,-0.0783095,0.0195543
130324,0.390267,1.01E-05,0,4.33E-05,2.16E-05,0,0.000386342,-0.109016,0.035124,0.197094,-0.0905933,0.0227941
130334,0.413225,1.01E-05,0,4.33E-05,2.16E-05,0,0.000386342,-0.122988,0.0392563,0.217758,-0.104413,0.0261496
130344,0.436184,1.01E-05,0,4.33E-05,2.16E-05,0,0.000386342,-0.138102,0.0436181,0.236797,-0.119767,0.0296207
130354,0.459142,1.01E-05,0,4.33E-05,2.16E-05,0,0.000386342,-0.152628,0.0482095,0.260124,-0.133587,0.0333233
130364,0.4821,1.01E-05,0,4.33E-05,2.17E-05,0,0.000386342,-0.166635,0.0530305,0.286407,-0.147406,0.037373
130374,0.505058,1.01E-05,0,4.33E-05,2.17E-05,0,0.000386342,-0.181313,0.0580811,0.311144,-0.162761,0.0415384
130384,0.528017,1.01E-05,0,4.33E-05,2.17E-05,0,0.000386342,-0.195254,0.0633613,0.339181,-0.17658,0.046051
130395,0.550975,1.01E-05,0,4.33E-05,2.18E-05,0,0.000386342,-0.208707,0.068871,0.368849,-0.1904,0.0506792
130404,0.57391,1.01E-05,0,4.33E-05,2.18E-05,0,0.000386342,-0.221879,0.0746101,0.399043,-0.204219,0.0555389
130414,0.596868,1.01E-05,0,4.33E-05,2.18E-05,0,0.000386342,-0.23386,0.0805788,0.432455,-0.216503,0.0607456
130424,0.619826,1.01E-05,0,4.33E-05,2.18E-05,0,0.000386342,-0.245221,0.0867771,0.466385,-0.228787,0.0661838
130435,0.642785,1.01E-05,0,4.33E-05,2.19E-05,0,0.000386342,-0.255286,0.0932049,0.502757,-0.239535,0.0717377
130444,0.665743,1.01E-05,0,4.33E-05,2.19E-05,0,0.000386342,-0.264759,0.0998624,0.538635,-0.250283,0.0774073
130454,0.688701,1.01E-05,0,4.33E-05,2.19E-05,0,0.000386342,-0.273026,0.106749,0.576006,-0.259496,0.0833083
130464,0.711659,1.01E-05,0,4.33E-05,2.19E-05,0,0.000386342,-0.280804,0.113866,0.612139,-0.268709,0.0895564
130475,0.734618,1.01E-05,0,4.33E-05,2.20E-05,0,0.000386342,-0.287466,0.121212,0.649254,-0.276386,0.096036
130485,0.757576,1.01E-05,0,4.33E-05,2.20E-05,0,0.000386342,-0.292643,0.128788,0.688149,-0.282528,0.102863
130494,0.757576,1.01E-05,0,4.33E-05,2.20E-05,0,0.000386342,-0.2954,0.136364,0.725461,-0.28867,0.109921
