QGPIORecord, QRC v6.1.0, 21-12-2021 @ 19:50:32, Windows 10 Version 2009, 10.0.19042, x86_64
Time, trajectoryV, x1, x2, x3, P11, P12, P22, P13, P23, P33, y1, y2
63024, 0, -0.000231412, 0.0381447, -0.0816727, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.0445289
63034, 0, -0.000231412, 0.0318258, -0.0848898, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.038387
63044, 0, -0.000231412, 0.0264399, -0.0837781, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.0337806
63053, 0, -0.000231412, 0.0206176, -0.0837757, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.0276386
63064, 0, -0.000231412, 0.0145736, -0.0838943, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.0214967
63074, 0, -0.000231412, 0.00845227, -0.0836321, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.0153548
63084, 0, -0.000231412, 0.00233746, -0.0828139, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.00921288
63093, 0, -0.000231412, -0.00373118, -0.0814546, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, 0.00307096
63104, 0, -0.000231412, -0.00974272, -0.0796587, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, -0.00307096
63114, 0, -0.000231412, -0.0157021, -0.0775554, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, -0.00921288
63124, 0, -0.000231412, -0.0216211, -0.0752628, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, -0.0153548
63134, 0, -0.000231412, -0.026447, -0.0695468, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, -0.0199612
63143, 0, -0.000231412, -0.0317323, -0.0662076, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, -0.0261032
63154, 0, -0.000231412, -0.0362812, -0.0608797, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, -0.0307096
63164, 0, -0.000231412, -0.0404469, -0.0552301, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, -0.0353161
63174, 0, -0.000231412, -0.043404, -0.046801, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, -0.038387
63183, 0, -0.000231412, -0.0468364, -0.0416539, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, -0.0429934
63194, 0, -0.000231412, -0.0496091, -0.0353874, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, -0.0460644
63204, 0, -0.000231412, -0.0510253, -0.0261693, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, -0.0475999
63214, 0, -0.000231412, -0.0528579, -0.0203961, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, -0.0506709
63223, 0, -0.000231412, -0.0540257, -0.0137997, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, -0.0522063
63234, 0, -0.000231412, -0.0549247, -0.00788499, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, -0.0537418
63244, 0, -0.000231412, -0.05473, 6.5106e-05, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, -0.0537418
63254, 0, -0.000231412, -0.0540389, 0.00757429, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, -0.0537418
63263, 0, -0.000231412, -0.0532311, 0.013519, 0.000304318, 0, -0.0944785, 0.43288, 0, 3.86342, -0.000231412, -0.0537418
