QGPIORecord, QRC v6.1.0, 23-12-2021 @ 01:40:52, Windows 10 Version 2009, 10.0.22000, x86_64
Time, trajectoryV, VoltA, P12, P13, P22, P23, P33, x1, x2, x3, y1, y2
22444, 0, 72.4331, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.251547, 0.473641, 0.279618, 0.247148, 0.483676
22454, 0, 72.7633, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.255108, 0.465125, 0.237233, 0.250619, 0.47907
22464, 0, 72.4137, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.258834, 0.452351, 0.19516, 0.254322, 0.469857
22474, 0, 72.1327, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.262723, 0.435558, 0.153554, 0.258256, 0.456038
22483, 0, 71.9461, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.26671, 0.41484, 0.11237, 0.262305, 0.437612
22494, 0, 72.2834, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.270643, 0.390114, 0.0714783, 0.266239, 0.41458
22504, 0, 72.0335, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.274601, 0.36138, 0.0308236, 0.270289, 0.386941
22514, 0, 72.1858, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.278418, 0.32849, -0.00965003, 0.274107, 0.354696
22524, 0, 72.0113, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.282272, 0.292883, -0.0475664, 0.278157, 0.320915
22534, 0, 71.4393, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.286109, 0.254279, -0.084079, 0.282207, 0.282528
22544, 0, 71.2235, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.289834, 0.213632, -0.117795, 0.286141, 0.242606
22554, 0, 70.3615, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.293484, 0.171009, -0.149287, 0.290075, 0.199612
22564, 0, 70.126, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.297071, 0.127042, -0.178029, 0.294009, 0.155084
22574, 0, 69.2661, 0, 0, 4.57026e-06, 1.09549e-05, 5.81861e-05, 0.300535, 0.0820887, -0.204034, 0.297827, 0.109019
