QGPIORecord, QRC v6.1.0, 22-12-2021 @ 16:31:35, Windows 10 Version 2009, 10.0.22000, x86_64
Time, trajectoryV, P11, P12, P13, P22, P23, P33, x1, x2, x3, y1, y2
14334, 0.137749, 4.51076e-09, 0, 0, 4.56011e-06, 1.06889e-05, 5.69358e-05, 0.48995, 0.420182, 0.0625906, 0.488973, 0.420722
14345, 0.114791, 4.51076e-09, 0, 0, 4.55984e-06, 1.0732e-05, 5.71391e-05, 0.49171, 0.416442, 0.0220001, 0.49094, 0.419186
14355, 0.091833, 4.51076e-09, 0, 0, 4.55963e-06, 1.0775e-05, 5.73434e-05, 0.493154, 0.411392, -0.0177402, 0.49256, 0.416115
14365, 0.0688747, 4.51076e-09, 0, 0, 4.55945e-06, 1.08174e-05, 5.75469e-05, 0.494405, 0.404418, -0.0578422, 0.494065, 0.409973
14374, 0.0459165, 4.51076e-09, 0, 0, 4.5593e-06, 1.08588e-05, 5.77475e-05, 0.495441, 0.396243, -0.0967355, 0.495337, 0.403831
14385, 0.0229582, 4.51076e-09, 0, 0, 4.55921e-06, 1.0899e-05, 5.79433e-05, 0.49625, 0.386843, -0.134581, 0.496379, 0.396154
14395, 0, 4.51076e-09, 0, 0, 4.55917e-06, 1.09374e-05, 5.81324e-05, 0.49683, 0.376191, -0.171517, 0.497189, 0.386941
14404, 0, 4.51076e-09, 0, 0, 4.56408e-06, 1.09721e-05, 5.82515e-05, 0.497338, 0.363165, -0.2064, 0.497651, 0.377728
14414, -0.0229582, 4.51076e-09, 0, 0, 4.56528e-06, 1.09978e-05, 5.83685e-05, 0.497588, 0.349958, -0.238486, 0.498114, 0.36698
14425, -0.0459165, 4.51076e-09, 0, 0, 4.56452e-06, 1.10201e-05, 5.84908e-05, 0.497597, 0.336283, -0.268776, 0.498346, 0.354696
14435, -0.0688747, 4.51076e-09, 0, 0, 4.56308e-06, 1.10416e-05, 5.8618e-05, 0.497442, 0.322481, -0.296862, 0.498461, 0.342412
14445, -0.091833, 4.51076e-09, 0, 0, 4.56172e-06, 1.10631e-05, 5.87451e-05, 0.497082, 0.307598, -0.324954, 0.498346, 0.327057
14454, -0.114791, 4.51076e-09, 0, 0, 4.56081e-06, 1.10842e-05, 5.88664e-05, 0.496572, 0.292071, -0.35212, 0.498114, 0.311703
