QGPIORecord, QRC v6.1.0, 11-11-2021 @ 19:01:42, Windows 10 Version 1903, 10.0.18362, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
216130, -12, -36.0407, -35.5042, -25.6026, -25.9532, 0.197167, 0, 0, 0, 0, 0, 0
216140, -12, -36.3001, -35.7637, -25.9637, -25.5956, 0.197167, 0, 0, 0, 0, 0, 0
216151, -12, -36.5596, -36.0196, -25.9252, -25.5956, 0.197167, 0, 0, 0, 0, 0, 0
216161, -12, -36.8155, -36.2791, -25.9252, -25.9252, 0.197167, 0, 0, 0, 0, 0, 0
216170, -12, -37.075, -36.535, -25.6657, -25.6131, 0.198578, 0, 0, 0, 0, 0, 0
216180, -12, -37.3345, -36.791, -25.9252, -25.6026, 0.197167, 0, 0, 0, 0, 0, 0
216190, -12, -37.5939, -37.047, -25.9357, -25.9357, 0.197167, 0, 0, 0, 0, 0, 0
216201, -12, -37.8534, -37.3064, -25.9462, -25.564, 0.177169, 0, 0, 0, 0, 0, 0
216210, -12, -38.1093, -37.5624, -25.9462, -25.585, 0.197167, 0, 0, 0, 0, 0, 0
216220, -12, -38.3688, -37.8218, -25.9252, -25.9532, 0.197167, 0, 0, 0, 0, 0, 0
216230, -12, -38.6283, -38.0778, -25.6236, -25.6341, 0.197167, 0, 0, 0, 0, 0, 0
216241, -12, -38.8877, -38.3337, -25.9146, -25.9146, 0.197167, 0, 0, 0, 0, 0, 0
216250, -12, -39.1472, -38.5932, -25.9462, -25.6026, 0.197167, 0, 0, 0, 0, 0, 0
216260, -12, -39.4031, -38.8492, -25.9742, -25.6131, 0.197167, 0, 0, 0, 0, 0, 0
216270, -12, -39.6626, -39.1051, -25.9146, -25.585, 0.197167, 0, 0, 0, 0, 0, 0
216281, -12, -39.9221, -39.3611, -25.9357, -25.9357, 0.197167, 0, 0, 0, 0, 0, 0
216290, -12, -40.1815, -39.6205, -25.6447, -25.5956, 0.197167, 0, 0, 0, 0, 0, 0
216300, -12, -40.441, -39.8765, -25.9252, -25.6026, 0.198578, 0, 0, 0, 0, 0, 0
216310, -12, -40.7005, -40.136, -25.9357, -25.9252, 0.197167, 0, 0, 0, 0, 0, 0
216321, -12, -40.9564, -40.3919, -25.9637, -25.6236, 0.197167, 0, 0, 0, 0, 0, 0
216331, -12, -41.2159, -40.6479, -25.8936, -25.5114, 0.198578, 0, 0, 0, 0, 0, 0
216340, -12, -41.4753, -40.9073, -25.6236, -26.0268, 0.197167, 0, 0, 0, 0, 0, 0
216350, -12, -41.7348, -41.1633, -25.9637, -25.5956, 0.177169, 0, 0, 0, 0, 0, 0
216360, -12, -41.9943, -41.4192, -25.9252, -25.9146, 0.197167, 0, 0, 0, 0, 0, 0
216371, -12, -42.2502, -41.6787, -25.9357, -25.6131, 0.197167, 0, 0, 0, 0, 0, 0
216380, -12, -42.5097, -41.9347, -25.6341, -25.5745, 0.197167, 0, 0, 0, 0, 0, 0
216390, -12, -42.7691, -42.1941, -25.9252, -25.9357, 0.197167, 0, 0, 0, 0, 0, 0
216400, -12, -43.0286, -42.4501, -25.9532, -25.6236, 0.197167, 0, 0, 0, 0, 0, 0
216411, -12, -43.2846, -42.706, -25.9742, -25.6026, 0.197167, 0, 0, 0, 0, 0, 0
216420, -12, -43.544, -42.9655, -25.9041, -25.8831, 0.197167, 0, 0, 0, 0, 0, 0
216430, -12, -43.8035, -43.2214, -25.9252, -25.6131, 0.197167, 0, 0, 0, 0, 0, 0
216440, -12, -44.0629, -43.4774, -25.9532, -25.9848, 0.197167, 0, 0, 0, 0, 0, 0
216451, -12, -44.3224, -43.7369, -25.6131, -25.5956, 0.197167, 0, 0, 0, 0, 0, 0
216460, -12, -44.5819, -43.9928, -25.9041, -25.5745, 0.198578, 0, 0, 0, 0, 0, 0
216470, -12, -44.8413, -44.2523, -25.9532, -25.9532, 0.197167, 0, 0, 0, 0, 0, 0
216480, -12, -45.1008, -44.5082, -25.9637, -25.5956, 0.197167, 0, 0, 0, 0, 0, 0
216491, -12, -45.3603, -44.7642, -25.9357, -25.6026, 0.177169, 0, 0, 0, 0, 0, 0
216501, -12, -45.6162, -45.0237, -25.5745, -25.9252, 0.197167, 0, 0, 0, 0, 0, 0
