QGPIORecord, QRC v6.1.0, 30-11-2021 @ 01:15:34, Windows 10 Version 1903, 10.0.18362, x86_64,,,,,,,
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
21860,6,6,20.5922,20.508,12.612,12.2718,0.127219,0,1.67,0,0,0
21870,6,6,20.7184,20.6342,12.6295,12.64,0.127219,0,1.68,0,0,0
21880,6,6,20.8446,20.757,12.6225,12.626,0.127219,0,1.69,0,0,0
21891,6,6,20.9708,20.8832,12.6014,12.6014,0.127219,0,1.7,0,0,0
21900,6,6,21.0936,21.0094,12.6155,12.612,0.127219,0,1.71,0,0,0
21910,6,6,21.2233,21.1356,12.6295,12.2789,0.127219,0,1.72,0,0,0
21920,6,6,21.346,21.2619,12.2718,12.626,0.126676,0,1.73,0,0,0
21931,6,6,21.4722,21.3846,12.626,12.612,0.127219,0,1.74,0,0,0
21941,6,6,21.5984,21.5108,12.6049,12.6049,0.127219,0,1.75,0,0,0
21950,6,6,21.7247,21.637,12.6295,12.2859,0.127219,0,1.76,0,0,0
21960,6,6,21.8509,21.7632,12.6225,12.6295,0.127219,0,1.77,0,0,0
21970,6,6,21.9771,21.8895,12.6225,12.6225,0.127219,0,1.78,0,0,0
21981,6,6,22.1033,22.0122,12.6049,12.6014,0.127768,0,1.79,0,0,0
21990,6,6,22.2296,22.1384,12.6225,12.6225,0.127768,0,1.8,0,0,0
22000,6,6,22.3523,22.2646,12.626,12.6295,0.127219,0,1.81,0,0,0
22010,6,6,22.4785,22.3909,12.6225,12.2718,0.128322,0,1.82,0,0,0
22021,6,6,22.6047,22.5136,12.2964,12.6155,0.126676,0,1.83,0,0,0
22030,6,6,22.731,22.6398,12.612,12.6155,0.127219,0,1.84,0,0,0
22040,6,6,22.8572,22.766,12.6295,12.626,0.127219,0,1.85,0,0,0
22050,6,6,22.9834,22.8923,12.6155,12.2964,0.127219,0,1.86,0,0,0
22061,6,6,23.1096,23.0185,12.626,12.6225,0.127219,0,1.87,0,0,0
22070,6,6,23.2359,23.1412,12.612,12.612,0.127219,0,1.88,0,0,0
22080,6,6,23.3621,23.2674,12.626,12.6295,0.127219,0,1.89,0,0,0
22090,6,6,23.4883,23.3936,12.612,12.6049,0.127219,0,1.9,0,0,0
22100,6,6,23.6145,23.5199,12.6225,12.2754,0.127219,0,1.91,0,0,0
22111,6,6,23.7408,23.6426,12.612,12.6049,0.127219,0,1.92,0,0,0
22120,6,6,23.867,23.7688,12.647,12.626,0.127219,0,1.93,0,0,0
22130,6,6,23.9897,23.895,12.2648,12.2894,0.127219,0,1.94,0,0,0
22140,6,6,24.1159,24.0213,12.626,12.6225,0.127768,0,1.95,0,0,0
22151,6,6,24.2422,24.1475,12.6155,12.6155,0.127219,0,1.96,0,0,0
22160,6,6,24.3684,24.2702,12.5909,12.5909,0.127219,0,1.97,0,0,0
22170,6,6,24.4946,24.3964,12.64,12.64,0.115443,0,1.98,0,0,0
22180,6,6,24.6208,24.5227,12.612,12.2648,0.127219,0,1.99,0,0,0
22191,6,6,24.7471,24.6454,12.6225,12.6225,0.127219,0,2,0,0,0
22200,6,6,24.8733,24.7716,12.626,12.612,0.127219,0,2.01,0,0,0
22210,6,6,24.9995,24.8978,12.6225,12.626,0.127219,0,2.02,0,0,0
22220,6,6,25.1257,25.024,12.626,12.2859,0.127219,0,2.03,0,0,0
22231,6,6,25.252,25.1503,12.626,12.6225,0.127219,0,2.04,0,0,0
22241,6,6,25.3782,25.273,12.612,12.612,0.127219,0,2.05,0,0,0
22250,6,6,25.5044,25.3992,12.6155,12.612,0.127219,0,2.06,0,0,0
22260,6,6,25.6271,25.5254,12.6225,12.2789,0.127219,0,2.07,0,0,0
22270,6,6,25.7533,25.6482,12.2789,12.6155,0.127219,0,2.08,0,0,0
22281,6,6,25.8796,25.7744,12.626,12.6155,0.127219,0,2.09,0,0,0
22290,6,6,26.0058,25.9006,12.6295,12.2789,0.127219,0,2.1,0,0,0
22300,6,6,26.132,26.0233,12.6155,12.64,0.127768,0,2.11,0,0,0
22310,6,6,26.2582,26.1496,12.6155,12.612,0.127219,0,2.12,0,0,0
22321,6,6,26.3845,26.2758,12.6225,12.6225,0.127219,0,2.13,0,0,0
22330,6,6,26.5072,26.402,12.2613,12.2648,0.115004,0,2.14,0,0,0
22340,6,6,26.6334,26.5247,12.6295,12.6155,0.127219,0,2.15,0,0,0
22350,6,6,26.7596,26.6509,12.6225,12.6225,0.127219,0,2.16,0,0,0
22361,6,6,26.8859,26.7772,12.6225,12.2859,0.127219,0,2.17,0,0,0
22370,6,6,27.0121,26.8999,12.6155,12.612,0.127219,0,2.18,0,0,0
22380,6,6,27.1383,27.0261,12.6049,12.612,0.127219,0,2.19,0,0,0
22390,6,6,27.261,27.1523,12.2894,12.2754,0.127219,0,2.2,0,0,0
22401,6,6,27.3873,27.2751,12.6225,12.6225,0.127219,0,2.21,0,0,0
22411,6,6,27.5135,27.4013,12.6155,12.6225,0.127219,0,2.22,0,0,0
22420,6,6,27.6397,27.5275,12.6295,12.2648,0.127219,0,2.23,0,0,0
22430,6,6,27.7659,27.6537,12.626,12.6505,0.127219,0,2.24,0,0,0
22440,6,6,27.8886,27.7764,12.6049,12.6049,0.126676,0,2.25,0,0,0
